ID,ONETCode,Gender,Age,White,AfnAmn,AsnPI,HispLat,NAorAI,Other,OthrTxt,Educ,HSGPA,HS4,HSTotal,ColGPA,ColGPA4,ColGPATotal,CurrEmpl,AvgHrs,JobTitle,Mgmt,NumMgmt,Salary,CHIncome,Rltnshp,Chldrn,NumChlrn,USLadder,CommLadd,OrgLadd,X1,countryCode,countryName,block
897,27.1013.00,2,50,1,NA,NA,NA,NA,NA,NA,5,3.2,1,NA,3.1,1,NA,2,NA,Artist,2,NA,20000,1500,2,2,NA,6,7,6,888,US,United States,0
111,37.2011.00,2,38,1,NA,NA,NA,NA,NA,NA,4,3.6,2,3,3.6,1,NA,2,NA,Cleaner,2,NA,400000,4000,3,1,2,6,3,5,111,US,United States,0
170,27.2012.02,2,25,1,NA,NA,NA,NA,NA,NA,5,4.1,2,5,3.8,1,NA,1,50,Assistant Stage Manager,1,30,NA,NA,2,2,NA,6,6,8,170,US,United States,0
403,15.1134.00,1,28,NA,NA,NA,1,NA,NA,NA,5,3.2,1,NA,2.8,1,NA,1,30,web and graphic  design,2,NA,15000,2400,1,2,NA,4,6,3,400,US,United States,0
231,41.2031.00,1,24,1,NA,NA,NA,NA,NA,NA,5,3.5,1,NA,3.5,1,NA,1,37,Bookseller,2,NA,25000,5500,1,2,NA,8,5,8,231,US,United States,0
680,43.5061.00,2,25,1,NA,NA,NA,NA,NA,NA,3,2.8,1,NA,3.3,1,NA,1,39,Inventory Manager/Store Supervisor,1,4,NA,NA,1,2,NA,5,6,7,674,US,United States,0
1256,43.5081.03,1,19,1,NA,NA,NA,NA,NA,NA,3,3.2,1,NA,3,1,NA,1,13,Stocker,2,NA,NA,NA,1,2,NA,3,4,3,1221,US,United States,0
1257,43.5081.03,1,19,1,NA,NA,NA,NA,NA,NA,3,3.2,1,NA,3,1,NA,1,13,Stocker,2,NA,NA,NA,1,2,NA,3,4,3,1221,US,United States,0
127,11.1011.00,1,45,1,NA,NA,NA,NA,NA,NA,3,3,1,NA,2.8,1,NA,1,55,owner,1,3,NA,NA,2,2,NA,6,3,10,127,US,United States,0
210,NA,1,33,NA,NA,1,NA,NA,NA,NA,6,3,2,3,3,1,NA,1,7,senior engineer,1,4,40000,4000,2,1,1,6,5,7,210,US,United States,0
